title,citations,doi
Bongo Zooplankton Data from the R/V TINRO,1,https://doi.org/10.21966/ymv6-8024
Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,1,https://doi.org/10.21966/g9wr-vs33
Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,1,https://doi.org/10.21966/zw3v-md11
Flow Cytometry data from the R/V TINRO,1,https://doi.org/10.21966/j26w-by50
Conductivity,1,https://doi.org/10.21966/ygt4-m087
CTD data from the CCGS Sir John Franklin from the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,1,https://doi.org/10.21966/4nv8-tm66
CTD Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,1,https://doi.org/10.21966/66gj-7q46
