cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,alternative_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,tow_distance_nautical_miles,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,swell_height_meters,weather_description,comments,day_of_year
IYS2022,TINRO,3,11,Trawl,IYS2022-TINRO-3-11-Trawl,NA,2022-03-06T23:40:00Z,2022,3,6,23:40:00,00:40:00,60,day,UTC,0,26.2,7.9636000000000005,49.065,-169.065,49.065,-169.17,5200,4.3,55,46.800000000000004,2,NA,NA,NA,65
IYS2022,TINRO,3,12,Trawl,IYS2022-TINRO-3-12-Trawl,NA,2022-03-07T12:29:00Z,2022,3,7,12:29:00,13:29:00,60,night,UTC,0,29.3,7.7784,49.515,-167.3617,49.515,-167.4233,5300,4.2,354,39.6,3,NA,NA,NA,66
IYS2022,TINRO,3,13,Trawl,IYS2022-TINRO-3-13-Trawl,NA,2022-03-08T03:12:00Z,2022,3,8,03:12:00,04:12:00,60,day,UTC,0,28.2,8.704400000000001,50.0667,-165.1867,50.0667,-165.3017,5000,4.7,NA,0,3,NA,NA,NA,67
IYS2022,TINRO,3,14,Trawl,IYS2022-TINRO-3-14-Trawl,NA,2022-03-08T16:21:00Z,2022,3,8,16:21:00,17:21:00,60,night,UTC,0,32.3,7.2228,50.5617,-163.01,50.5617,-162.9117,4500,3.9,83,28.8,2.5,NA,NA,NA,67
IYS2022,TINRO,3,15,Trawl,IYS2022-TINRO-3-15-Trawl,NA,2022-03-09T03:46:00Z,2022,3,9,03:46:00,04:46:00,60,day,UTC,0,25.8,8.5192,50.8617,-160.9683,50.8617,-161.0217,4500,4.6,20,28.8,1.5,NA,NA,NA,68
IYS2022,TINRO,3,16,Trawl,IYS2022-TINRO-3-16-Trawl,NA,2022-03-09T18:55:00Z,2022,3,9,18:55:00,19:55:00,60,day,UTC,0,24.5,8.334,51.2917,-158.425,51.2917,-158.5467,4800,4.5,124,32.4,2.5,NA,NA,NA,68
IYS2022,TINRO,3,17,Trawl,IYS2022-TINRO-3-17-Trawl,NA,2022-03-10T08:45:00Z,2022,3,10,08:45:00,09:45:00,60,night,UTC,0,26.3,8.148800000000001,51.905,-156.0267,51.905,-156.01,4000,4.4,180,54,2,NA,NA,NA,69
IYS2022,TINRO,3,18,Trawl,IYS2022-TINRO-3-18-Trawl,NA,2022-03-11T03:03:00Z,2022,3,11,03:03:00,04:03:00,60,day,UTC,0,27,9.26,50.9367,-155.975,50.9367,-155.8933,4500,5,220,64.8,4,NA,NA,NA,70
IYS2022,TINRO,3,19,Trawl,IYS2022-TINRO-3-19-Trawl,NA,2022-03-11T18:52:00Z,2022,3,11,18:52:00,19:52:00,60,day,UTC,0,26.2,8.5192,49.8883,-155.9633,49.8883,-155.8517,4400,4.6,248,46.800000000000004,3,NA,NA,NA,70
IYS2022,TINRO,3,20,Trawl,IYS2022-TINRO-3-20-Trawl,NA,2022-03-12T06:18:00Z,2022,3,12,06:18:00,07:18:00,60,night,UTC,0,30,7.9636000000000005,48.8267,-155.9283,48.8267,-155.8267,4000,4.3,250,36,2.5,NA,NA,NA,71
IYS2022,TINRO,3,21,Trawl,IYS2022-TINRO-3-21-Trawl,NA,2022-03-13T00:37:00Z,2022,3,13,00:37:00,01:37:00,60,day,UTC,0,26.2,8.5192,50.4433,-158.415,50.4433,-158.5317,5000,4.6,80,72,3.5,NA,NA,NA,72
IYS2022,TINRO,3,22,Trawl,IYS2022-TINRO-3-22-Trawl,NA,2022-03-14T02:17:00Z,2022,3,14,02:17:00,03:17:00,60,day,UTC,0,28.2,8.334,49.5233,-158.5033,49.5233,-158.4367,4500,4.5,330,72,4,NA,NA,NA,73
IYS2022,TINRO,3,23,Trawl,IYS2022-TINRO-3-23-Trawl,NA,2022-03-15T11:29:00Z,2022,3,15,11:29:00,12:29:00,60,night,UTC,0,25,8.5192,48.4467,-158.35,48.4467,-158.2417,4000,4.6,280,43.2,3,NA,NA,NA,74
IYS2022,TINRO,3,24,Trawl,IYS2022-TINRO-3-24-Trawl,NA,2022-03-14T20:47:00Z,2022,3,14,20:47:00,21:47:00,60,day,UTC,0,29.2,9.26,47.5367,-158.33,47.5367,-158.315,3800,5,182,57.6,2.5,NA,NA,NA,73
IYS2022,TINRO,3,25,Trawl,IYS2022-TINRO-3-25-Trawl,NA,2022-03-16T05:40:00Z,2022,3,16,05:40:00,06:40:00,60,night,UTC,0,30.3,8.8896,46.915,-160.905,46.915,-160.795,4000,4.8,300,57.6,4,NA,NA,NA,75
IYS2022,TINRO,3,26,Trawl,IYS2022-TINRO-3-26-Trawl,NA,2022-03-16T17:41:00Z,2022,3,16,17:41:00,18:41:00,60,day,UTC,0,26.7,8.5192,47.88,-160.84,47.88,-160.7333,4800,4.6,299,18,2,NA,NA,NA,75
IYS2022,TINRO,3,27,Trawl,IYS2022-TINRO-3-27-Trawl,NA,2022-03-17T03:45:00Z,2022,3,17,03:45:00,04:45:00,60,day,UTC,0,28,8.704400000000001,48.86,-160.8433,48.86,-160.755,4000,4.7,330,36,2.5,NA,NA,NA,76
IYS2022,TINRO,3,28,Trawl,IYS2022-TINRO-3-28-Trawl,NA,2022-03-17T16:24:00Z,2022,3,17,16:24:00,17:24:00,60,night,UTC,0,26.8,8.5192,49.8833,-160.9017,49.8833,-160.7883,4600,4.6,328,64.8,3,NA,NA,NA,76
IYS2022,TINRO,3,29,Trawl,IYS2022-TINRO-3-29-Trawl,NA,2022-03-18T14:40:00Z,2022,3,18,14:40:00,15:40:00,60,night,UTC,0,24.7,8.334,49.615,-163.0067,49.615,-162.9467,5000,4.5,300,72,4,NA,NA,NA,77
IYS2022,TINRO,3,30,Trawl,IYS2022-TINRO-3-30-Trawl,NA,2022-03-18T23:20:00Z,2022,3,18,23:20:00,00:20:00,60,day,UTC,0,29,8.5192,48.605,-162.9933,48.605,-162.8883,5000,4.6,310,50.4,2,NA,NA,NA,77
IYS2022,TINRO,3,31,Trawl,IYS2022-TINRO-3-31-Trawl,NA,2022-03-19T12:16:00Z,2022,3,19,12:16:00,13:16:00,60,night,UTC,0,25.5,8.8896,48.135,-165.1433,48.135,-165.2183,4300,4.8,42,61.2,2.5,NA,NA,NA,78
